Date,META,AMAZON,APPLE,NETFLIX,GOOGLE
10/16/2012,19.47999954,12.19699955,23.2067852,9.435713768,18.6361351
10/17/2012,19.87999916,12.37450027,23.02178574,9.788571358,18.90615654
10/18/2012,18.97999954,12.24250031,22.59428596,9.622857094,17.3923912
10/19/2012,19,12,21.78000069,9.282856941,17.06181145
10/22/2012,19.31999969,11.68900013,22.64392853,9.697142601,16.98373413
10/23/2012,19.5,11.71549988,21.90571404,9.745714188,17.02577591
10/24/2012,23.22999954,11.42450047,22.02964211,8.588570595,16.94944954
10/25/2012,22.55999947,11.14599991,21.7692852,8.787142754,16.96096039
10/26/2012,21.94000053,11.9119997,21.5714283,9.93999958,16.89564514
10/31/2012,21.11000061,11.64449978,21.26142883,11.31999969,17.02452469
11/1/2012,21.20999908,11.60700035,21.30500031,11.09857082,17.20695686
11/2/2012,21.18000031,11.62100029,20.60000038,10.98571396,17.21521568
11/5/2012,21.25,11.71650028,20.87928581,11.1771431,17.09109116
11/6/2012,21.17000008,11.87800026,20.81607056,10.90999985,17.0600605
11/7/2012,20.46999931,11.60299969,19.9285717,11.09714317,16.69469452
11/8/2012,19.98999977,11.36750031,19.2053566,10.85285664,16.32357407
11/9/2012,19.20999908,11.31550026,19.53785706,11.12857056,16.59234238
11/12/2012,20.06999969,11.32349968,19.38678551,11.17000008,16.66416359
11/13/2012,19.86000061,11.32999992,19.38928604,11.37285709,16.49274254
11/14/2012,22.36000061,11.14750004,19.17428589,11.39714336,16.33008003
11/15/2012,22.17000008,11.02999973,18.77214241,11.64000034,16.19769859
11/16/2012,23.55999947,11.26150036,18.84571457,11.55714321,16.19569588
11/19/2012,22.92000008,11.48550034,20.20464325,11.62285709,16.72197151
11/20/2012,23.10000038,11.68900013,20.03249931,11.77142906,16.76601601
11/21/2012,24.31999969,11.90149975,20.06071472,11.8571434,16.66341209
11/23/2012,24,11.99400043,20.4107132,11.85000038,16.71596527
11/26/2012,25.94000053,12.18099976,21.05464363,11.72285748,16.54529572
11/27/2012,26.14999962,12.17000008,20.88500023,11.86857128,16.78453445
11/28/2012,26.36000061,12.35550022,20.81928635,11.74714279,17.10885811
11/29/2012,27.31999969,12.5635004,21.04857063,11.6257143,17.31456566
11/30/2012,28,12.60249996,20.90285683,11.67285728,17.47672653
12/3/2012,27.04000092,12.51650047,20.93535614,10.8571434,17.39864922
12/4/2012,27.45999908,12.62450027,20.56607056,12.37857056,17.29304314
12/5/2012,27.70999908,12.69799995,19.24250031,11.90999985,17.21271324
12/6/2012,26.96999931,12.66849995,19.54428673,12.31000042,17.29554558
12/7/2012,27.48999977,12.66349983,19.0446434,12.28285694,17.12237167
12/10/2012,27.84000015,12.38850021,18.92214394,12.11428642,17.15265274
12/11/2012,27.97999954,12.53450012,19.33535767,12.29714298,17.43943977
12/12/2012,27.57999992,12.5880003,19.25,12.96142864,17.45645523
12/13/2012,28.23999977,12.5625,18.91749954,13.22285748,17.58508492
12/14/2012,26.80999947,12.45950031,18.2067852,13.32857132,17.56656647
12/17/2012,26.75,12.69299984,18.52964211,13.52857113,18.03753853
12/18/2012,27.70999908,13.02000046,19.06785774,13.66285706,18.04479408
12/19/2012,27.40999985,12.89949989,18.79678535,13.42571354,18.02077103
12/20/2012,27.36000061,13.07499981,18.63321495,13.3571434,18.07707787
12/21/2012,26.26000023,12.84599972,18.54750061,13.04857063,17.90865898
12/24/2012,26.93000031,12.93099976,18.57749939,12.89000034,17.75525475
12/26/2012,26.51000023,12.43150043,18.3214283,12.94999981,17.7394886
12/27/2012,26.04999924,12.41549969,18.39500046,12.92857075,17.67492485
12/28/2012,25.90999985,12.25899982,18.19964218,12.76142883,17.51776886
12/31/2012,26.62000084,12.54349995,19.00607109,13.22714329,17.70220184
1/2/2013,28,12.86550045,19.60821342,13.14428616,18.09934807
1/3/2013,27.77000046,12.92399979,19.36071396,13.79857063,18.10985947
1/4/2013,28.76000023,12.95750046,18.8214283,13.71142864,18.46771812
1/7/2013,29.42000008,13.42300034,18.71071434,14.17142868,18.38713646
1/8/2013,29.05999947,13.31900024,18.76107025,13.88000011,18.35085106
1/9/2013,30.59000015,13.31750011,18.46785736,13.70142937,18.47147179
1/10/2013,31.29999924,13.2670002,18.69678688,14,18.55555534
1/11/2013,31.71999931,13.39700031,18.58214378,14.47000027,18.51826859
1/14/2013,30.95000076,13.63650036,17.9196434,14.77857113,18.09934807
1/15/2013,30.10000038,13.59500027,17.35428619,14.52714252,18.14139175
1/16/2013,29.85000038,13.44649982,18.07464218,13.92571354,17.89764786
1/17/2013,30.13999939,13.52400017,17.95285606,13.95714283,17.80080032
1/18/2013,29.65999985,13.60599995,17.8571434,14.16714287,17.63038063
1/22/2013,30.72999954,13.50949955,18.02750015,13.97285748,17.5893383
1/23/2013,30.81999969,13.40550041,18.35750008,14.7514286,18.55605507
1/24/2013,31.07999992,13.67300034,16.0892868,20.97999954,18.87412453
1/25/2013,31.54000092,14.19950008,15.71000004,24.22285652,18.86061096
1/28/2013,32.47000122,13.80200005,16.06535721,23.15857124,18.7870369
1/29/2013,30.79000092,13.01749992,16.36678505,24.15999985,18.86086082
1/30/2013,31.23999977,13.63799953,16.31535721,23.95714378,18.86461449
1/31/2013,30.97999954,13.27499962,16.26749992,23.6057148,18.91116142
2/1/2013,29.72999954,13.25,16.20071411,23.54285622,19.40940857
2/4/2013,28.11000061,12.9989996,15.79714298,24.96285629,18.99449348
2/5/2013,28.63999939,13.34449959,16.35142899,24.91285706,19.16266251
2/6/2013,29.04999924,13.11100006,16.33392906,26.34428596,19.27352333
2/7/2013,28.64999962,13.01150036,16.72214317,25.99428558,19.36811829
2/8/2013,28.54999924,13.09749985,16.96357155,25.85285759,19.65390396
2/11/2013,28.26000023,12.86050034,17.14035606,25.41285706,19.58008003
2/12/2013,27.37000084,12.93500042,16.71071434,25.42142868,19.5370369
2/13/2013,27.90999985,13.47350025,16.67892838,26.61000061,19.59109116
2/14/2013,28.5,13.46199989,16.66392899,26.77142906,19.71521568
2/15/2013,28.31999969,13.25450039,16.43428612,27.0728569,19.84209251
2/19/2013,28.93000031,13.48750019,16.42821312,28.06428528,20.19144058
2/20/2013,28.45999908,13.32050037,16.03035736,26.73142815,19.83133125
2/21/2013,27.28000069,13.29699993,15.93071365,26.73571396,19.90815735
2/22/2013,27.12999916,13.27099991,16.10035706,25.69428635,20.01276207
2/25/2013,27.27000046,12.99349976,15.81428623,25.61714363,19.78903961
2/26/2013,27.38999939,12.96800041,16.03464317,26.29857063,19.77302361
2/27/2013,26.87000084,13.16250038,15.87749958,26.33142853,20.01451492
2/28/2013,27.25,13.21350002,15.76428604,26.86857033,20.05005074
3/1/2013,27.78000069,13.2869997,15.37392902,27.05285645,20.17492485
3/4/2013,27.71999931,13.65550041,15.00178623,25.88714218,20.55805779
3/5/2013,27.52000046,13.77950001,15.39785671,25.9614296,20.98598671
3/6/2013,27.45000076,13.68949986,15.20214272,26.13428688,20.80530548
3/7/2013,28.57999992,13.69400024,15.37785721,25.93714333,20.83583641
3/8/2013,27.95999908,13.70950031,15.41857147,26.38571358,20.80880928
3/11/2013,28.13999939,13.56200027,15.63821411,25.77857018,20.89139175
3/12/2013,27.82999992,13.70650005,15.30107117,26.01571465,20.71096039
3/13/2013,27.07999992,13.75500011,15.29821396,27.47999954,20.65340233
3/14/2013,27.04000092,13.2869997,15.44642925,26.90999985,20.55905914
3/15/2013,26.64999962,13.0909996,15.84500027,26.40714264,20.37787819
3/18/2013,26.48999977,12.89449978,16.27571487,26.51285744,20.21496582
3/19/2013,26.54999924,12.82050037,16.23178673,25.90999985,20.30330276
3/20/2013,25.86000061,12.86400032,16.14571381,26.14999962,20.38813782
3/21/2013,25.73999977,12.66950035,16.16892815,25.9985714,20.30180168
3/22/2013,25.72999954,12.88749981,16.49678612,25.89999962,20.27802849
3/25/2013,25.12999916,12.80099964,16.55642891,25.82714272,20.26126099
3/26/2013,25.20999908,13.01550007,16.46928596,27.22999954,20.33083153
3/27/2013,26.09000015,13.26500034,16.14571381,27.1771431,20.08658791
3/28/2013,25.57999992,13.32450008,15.80928612,27.04000092,19.87462425
4/1/2013,25.53000069,13.08049965,15.31821442,26.06142807,20.04980087
4/2/2013,25.42000008,13.16600037,15.34964275,25.24142838,20.3463459
4/3/2013,26.25,12.95149994,15.42821407,24.2485714,20.17517471
4/4/2013,27.06999969,12.95400047,15.27571392,23.81285667,19.8966465
4/5/2013,27.38999939,12.77400017,15.11428642,23.52285767,19.59584618
4/8/2013,26.85000038,12.94750023,15.22178555,23.29428673,19.39064026
4/9/2013,26.59000015,13.05700016,15.2492857,24.19428635,19.46071053
4/10/2013,27.56999969,13.23849964,15.56035709,23.72428513,19.77427483
4/11/2013,28.02000046,13.49250031,15.51178646,24.7157135,19.77952957
4/12/2013,27.39999962,13.64350033,15.35000038,24.74285698,19.77102089
4/15/2013,26.52000046,13.38599968,14.99464321,25.2142868,19.56781769
4/16/2013,26.92000008,13.61699963,15.22285748,25.12142944,19.85410309
4/17/2013,26.62999916,13.36999989,14.38571358,24.19428635,19.58358383
4/18/2013,25.69000053,12.97099972,14.00178623,23.40285683,19.1669178
4/19/2013,25.72999954,13.01599979,13.94750023,23.33857155,20.0167675
4/22/2013,25.96999931,13.17749977,14.23821354,24.90999985,20.02277374
4/23/2013,25.97999954,13.44499969,14.50464344,30.9985714,20.21771812
4/24/2013,26.11000061,13.43900013,14.48071384,30.95999908,20.35660744
4/25/2013,26.13999939,13.73499966,14.58500004,30.5357132,20.24774742
4/26/2013,26.85000038,12.74050045,14.89999962,30.79285622,20.05555534
4/29/2013,26.97999954,12.48700047,15.36142921,30.7157135,20.49699783
4/30/2013,27.77000046,12.69050026,15.81357098,30.86714363,20.63488579
5/1/2013,27.43000031,12.41149998,15.6889286,30.41571426,20.53128052
5/2/2013,28.96999931,12.62749958,15.91142941,30.6414299,20.76101112
5/3/2013,28.30999947,12.90250015,16.07071495,30.49285698,21.16416359
5/6/2013,27.56999969,12.78600025,16.4539299,30.09857178,21.56031036
5/7/2013,26.88999939,12.88650036,16.38071442,29.4642868,21.45220184
5/8/2013,27.12000084,12.93400002,16.56571388,29.80142975,21.86261368
5/9/2013,27.04000092,13.00800037,16.31321335,30.91571426,21.80880928
5/10/2013,26.68000031,13.18150043,16.17749977,31.09857178,22.02777863
5/13/2013,26.81999969,13.22550011,16.24071312,32.76856995,21.9602108
5/14/2013,27.06999969,13.41650009,15.85214329,33.42428589,22.1996994
5/15/2013,26.60000038,13.32800007,15.31607056,34.77142715,22.92016983
5/16/2013,26.12999916,13.20600033,15.52071381,33.86142731,22.61936951
5/17/2013,26.25,13.49499989,15.47357082,34.1428566,22.75225258
5/20/2013,25.76000023,13.38150024,15.81892872,34.22142792,22.73598671
5/21/2013,25.65999985,13.44299984,15.70214272,33.86999893,22.6969471
5/22/2013,25.15999985,13.14799976,15.76249981,32.65142822,22.25775719
5/23/2013,25.05999947,13.09000015,15.79071426,32.31142807,22.09184265
5/24/2013,24.30999947,13.08699989,15.89821434,32.6771431,21.85485458
5/28/2013,24.10000038,13.36450005,15.76571369,30.59857178,22.0538044
5/29/2013,23.31999969,13.27649975,15.89107132,30.76285744,21.72947884
5/30/2013,24.54999924,13.34150028,16.12785721,31.80857086,21.79079056
5/31/2013,24.35000038,13.46000004,16.06178665,32.32143021,21.80230141
6/3/2013,23.85000038,13.34399986,16.09714317,31.70999908,21.71246147
6/4/2013,23.52000046,13.28499985,16.04678535,32.18714142,21.49899864
6/5/2013,22.89999962,13.35849953,15.89678574,31.92285728,21.51401329
6/6/2013,22.96999931,13.39150047,15.65928555,31.1057148,21.63763809
6/7/2013,23.29000092,13.84350014,15.77892876,31.45999908,22.01526451
6/10/2013,24.32999992,14.05350018,15.67464256,31.56142807,22.27777863
6/11/2013,24.03000069,13.73900032,15.62857056,30.63714218,22.01726723
6/12/2013,23.77000046,13.58349991,15.43535709,29.66285706,21.82132149
6/13/2013,23.72999954,13.78950024,15.56999969,30.77000046,21.9469471
6/14/2013,23.62999916,13.69950008,15.35892868,30.56999969,21.89789772
6/17/2013,24.02000046,13.90299988,15.42857075,32.74714279,22.17842865
6/18/2013,24.20999908,14.0880003,15.42035675,32.68999863,22.53803825
6/19/2013,24.30999947,13.90799999,15.1071434,33.18714142,22.53953934
6/20/2013,23.89999962,13.67199993,14.88714314,31.93142891,22.14064026
6/21/2013,24.53000069,13.66800022,14.7678566,30.98571396,22.04529572
6/24/2013,23.94000053,13.53050041,14.3764286,30.79999924,21.76651764
6/25/2013,24.25,13.60449982,14.37964344,30.41428566,21.6766777
6/26/2013,24.15999985,13.87849998,14.21678638,30.29999924,21.8631134
6/27/2013,24.65999985,13.87749958,14.06357098,30.70999908,21.94869995
6/28/2013,24.87999916,13.88449955,14.16178608,30.15571404,22.03128052
7/1/2013,24.80999947,14.10499954,14.61499977,32.04000092,22.21921921
7/2/2013,24.40999985,14.1864996,14.94607067,31.63714218,22.07983017
7/3/2013,24.52000046,14.20149994,15.02857113,31.55857086,22.18293381
7/5/2013,24.37000084,14.29399967,14.90785694,32.15714264,22.3596096
7/8/2013,24.70999908,14.52950001,14.82321358,33.29999924,22.64990044
7/9/2013,25.47999954,14.57649994,15.08392906,35.34000015,22.6536541
7/10/2013,25.79999924,14.6164999,15.02607059,34.83142853,22.67242241
7/11/2013,25.80999947,14.9829998,15.2603569,34.88142776,23.02902985
7/12/2013,25.90999985,15.37749958,15.23250008,36.75143051,23.09809875
7/15/2013,26.28000069,15.32849979,15.26571369,36.85428619,23.1403904
7/16/2013,26.31999969,15.34350014,15.36428642,37.2114296,23.0132637
7/17/2013,26.64999962,15.43449974,15.36821365,38.27428436,22.9867363
7/18/2013,26.18000031,15.20549965,15.42000008,38.05857086,22.7897892
7/19/2013,25.87999916,15.26150036,15.17678642,37.79714203,22.43743706
7/22/2013,26.04999924,15.17399979,15.22535706,37.42285538,22.79029083
7/23/2013,26.12999916,15.05300045,14.96392918,35.75143051,22.61761856
7/24/2013,26.51000023,14.94699955,15.73250008,34.47142792,22.59509468
7/25/2013,34.36000061,15.17000008,15.66071415,35.24856949,22.21471405
7/26/2013,34.00999832,15.60050011,15.74964333,35.18714142,22.15590668
7/29/2013,35.43000031,15.30500031,15.99250031,34.99428558,22.07882881
7/30/2013,37.63000107,15.12049961,16.19000053,34.8228569,22.29529572
7/31/2013,36.79999924,15.06099987,16.16178513,34.92571259,22.21596527
8/1/2013,37.49000168,15.2784996,16.30999947,35.58856964,22.62812805
8/2/2013,38.04999924,15.21049976,16.5192852,35.16857147,22.68693733
8/5/2013,39.18999863,15.04950047,16.76607132,36.26285553,22.64764786
8/6/2013,38.54999924,15.03750038,16.6160717,36.55714417,22.43668747
8/7/2013,38.86999893,14.84549999,16.60642815,35.60142899,22.28853989
8/8/2013,38.54000092,14.7869997,16.46464348,35.77142715,22.33883858
8/9/2013,38.5,14.86299992,16.23035622,36.1071434,22.28253365
8/12/2013,38.22000122,14.83450031,16.69142914,36.65714264,22.1599102
8/13/2013,37.02000046,14.69849968,17.48464394,37.02714157,22.05330276
8/14/2013,36.65000153,14.56700039,17.8035717,37.40142822,21.76701736
8/15/2013,36.56000137,14.32349968,17.78249931,36.20142746,21.51301384
8/16/2013,37.08000183,14.24100018,17.94035721,36.98143005,21.44419479
8/19/2013,37.81000137,14.2784996,18.13357162,37.11142731,21.66291237
8/20/2013,38.40999985,14.35449982,17.89535713,39.04142761,21.6571579
8/21/2013,38.31999969,14.22850037,17.94142914,38.62428665,21.75500488
8/22/2013,38.54999924,14.48649979,17.96285629,38.5357132,21.86461449
8/23/2013,40.54999924,14.50049973,17.89357185,39.76571274,21.77702713
8/26/2013,41.34000015,14.31050014,17.96321487,40.38857269,21.68143082
8/27/2013,39.63999939,14.04650021,17.44964218,39.43428421,21.27502441
8/28/2013,40.54999924,14.07900047,17.53214264,40.47999954,21.23498535
8/29/2013,41.27999878,14.19900036,17.56071472,41.12142944,21.4071579
8/30/2013,41.29000092,14.04899979,17.40071487,40.55857086,21.19369316
9/3/2013,41.86999893,14.43999958,17.44928551,41.2857132,21.53103065
9/4/2013,41.77999878,14.68200016,17.81035614,41.77571487,21.81256294
9/5/2013,42.65999985,14.70499992,17.68821335,42.15856934,22.01101112
9/6/2013,43.95000076,14.79300022,17.79357147,41.64857101,22.01151276
9/9/2013,44.04000092,14.98550034,18.07749939,42.02142715,22.2234726
9/10/2013,43.59999847,15.01799965,17.66571426,44.72285843,22.23898888
9/11/2013,45.04000092,14.98200035,16.7039299,44.04285812,22.42717743
9/12/2013,44.75,14.94299984,16.88178635,43.05857086,22.34884834
9/13/2013,44.31000137,14.89599991,16.60357094,43.66428757,22.24899864
9/16/2013,42.50999832,14.80300045,16.07571411,43.16571426,22.21621513
9/17/2013,45.06999969,15.20849991,16.26142883,42.79285812,22.17492485
9/18/2013,45.22999954,15.60149956,16.59571457,43.84571457,22.60560608
9/19/2013,45.97999954,15.60299969,16.86785698,43.6428566,22.48223114
9/20/2013,47.49000168,15.81700039,16.69321442,44.83285522,22.60034943
9/23/2013,47.18999863,15.57450008,17.52285767,43.14857101,22.18468475
9/24/2013,48.45000076,15.70650005,17.46785736,43.7842865,22.19319344
9/25/2013,49.45999908,15.63249969,17.19750023,43.87714386,21.95270348
9/26/2013,50.38999939,15.90600014,17.36499977,44.78714371,21.97622681
9/27/2013,51.24000168,15.80049992,17.2410717,44.62857056,21.93168259
9/30/2013,50.22999954,15.63199997,17.0267868,44.17285538,21.9196701
10/1/2013,50.41999817,16.04750061,17.4271431,46.37428665,22.19719696
10/2/2013,50.27999878,16.02549934,17.48428535,47.24714279,22.22197151
10/3/2013,49.18000031,15.73799992,17.26464272,45.95999908,21.92417336
10/4/2013,51.04000092,15.95199966,17.25107193,46.75143051,21.83058167
10/7/2013,50.52000046,15.50150013,17.4196434,45.45142746,21.66516495
10/8/2013,47.13999939,15.16149998,17.17642975,43.18857193,21.3631134
10/9/2013,46.77000046,14.91149998,17.37821388,41.20428467,21.41791725
10/10/2013,49.04999924,15.2585001,17.48714256,43.4271431,21.72772789
10/11/2013,49.11000061,15.54450035,17.60035706,42.97857285,21.82157135
10/14/2013,49.50999832,15.53499985,17.7157135,46.33714294,21.92467499
10/15/2013,49.5,15.31999969,17.80999947,45.95571518,22.07232285
10/16/2013,51.13999939,15.52449989,17.89678574,46.12571335,22.47322273
10/17/2013,52.20999908,15.53849983,18.0178566,47.15714264,22.24199295
10/18/2013,54.22000122,16.44650078,18.17464256,47.6428566,25.31056023
10/21/2013,53.84999847,16.3220005,18.62000084,50.71285629,25.1076088
10/22/2013,52.68000031,16.62700081,18.56678581,46.07428741,25.20019913
10/23/2013,51.90000153,16.33799934,18.7485714,47.1771431,25.81106186
10/24/2013,52.45000076,16.61050034,18.99678612,47.31714249,25.66441345
10/25/2013,51.95000076,18.16950035,18.7842865,46.86142731,25.40540504
10/28/2013,50.22999954,17.90800095,18.92428589,44.8571434,25.40040016
10/29/2013,49.40000153,18.13500023,18.45285606,46.75714111,25.93193245
10/30/2013,49.00999832,18.05400085,18.74642944,45.44857025,25.7862854
10/31/2013,50.20999908,18.20149994,18.66785622,46.06856918,25.79029083
11/1/2013,49.75,17.95000076,18.57250023,47.0385704,25.70170212
11/4/2013,48.22000122,17.93700027,18.8125,48.22857285,25.67842865
11/5/2013,50.11000061,17.94449997,18.76607132,48.7857132,25.5635643
11/6/2013,49.11999893,17.80900002,18.60428619,47.94714355,25.59434319
